hidden_size,num_layers,dropout,lr,f1,accuracy,precision,recall
128,1,0.0,0.001,0.6375499563106101,0.5898495753096026,0.5705129848488733,0.722438644331905
128,1,0.0,0.0005,0.6614430549122536,0.5734617130260001,0.547847399829497,0.8344695494091676
128,2,0.0,0.001,0.5811818227099902,0.5911139207676847,0.5948003398470688,0.5681729645500584
128,2,0.0,0.0005,0.6470696515299549,0.5959767879141542,0.5738215424797207,0.7417543176210881
128,2,0.1,0.001,0.5852424873549539,0.5932697918692861,0.5961810466760962,0.5746980911569926
128,2,0.1,0.0005,0.6043016325472921,0.6039680995915192,0.6029734970911441,0.6056356317361382
200,1,0.0,0.001,0.6538572895006975,0.5736562277118589,0.5498207250675048,0.8064537073107388
200,1,0.0,0.0005,0.6279761459936928,0.5965279128574207,0.5818907016037448,0.6819893520322036
200,2,0.0,0.001,0.44538383496787287,0.5746612202554626,0.6382360067845892,0.3420335021425789
200,2,0.0,0.0005,0.6144811664265019,0.5966900084289697,0.5877871646657774,0.6437151019348136
200,2,0.1,0.001,0.5853768641676743,0.5831388186474745,0.5814676019345953,0.589339046877029
200,2,0.1,0.0005,0.6236918315124956,0.6019094858328471,0.590614933689312,0.6606934164394235
256,1,0.0,0.001,0.6358955340969062,0.5862186345069053,0.5671288640122122,0.723639787040644
256,1,0.0,0.0005,0.6142500077143827,0.594728652013227,0.5852984416348133,0.6462147773016491
256,2,0.0,0.001,0.6149865195698658,0.5972249238150814,0.5882788877690164,0.6442345149980522
256,2,0.0,0.0005,0.6233381215807329,0.600466835246061,0.588872206502281,0.6620893390468771
256,2,0.1,0.001,0.5229473997913873,0.5848408221487389,0.6134417059954553,0.45572003635891445
256,2,0.1,0.0005,0.5869117256048924,0.5970628282435324,0.6012188478823369,0.5732697052330866
384,1,0.0,0.001,0.6109325738306655,0.5859268624781171,0.5754454422861733,0.6510842747695105
384,1,0.0,0.0005,0.5137373120659391,0.5868832263502561,0.6230562754535357,0.4370536293987794
384,2,0.0,0.001,0.6099567572630625,0.5950042144848603,0.5874958650347337,0.6342033502142579
384,2,0.0,0.0005,0.6163983340585566,0.5998832911884847,0.5912234676842356,0.6438124918841709
384,2,0.1,0.001,0.5594203882177277,0.5791026389159049,0.585987487558652,0.5351577717179588
384,2,0.1,0.0005,0.5951961934558727,0.5973221811580107,0.5975330454129041,0.5928775483703416
