hidden_size,num_layers,dropout,lr,f1,accuracy,precision,recall
64,2,0.1,0.001,0.5568870074894171,0.5588406924722816,0.5583961863715022,0.5553859643425454
64,2,0.1,0.01,0.5754499806875242,0.5545775789405434,0.5488329600377225,0.6047803072126782
64,2,0.3,0.0001,6.493717328484691e-05,0.50079426830059,0.16666666666666666,3.2474913129607376e-05
64,2,0.3,0.0005,0.4931171612113796,0.5433929845036634,0.5529459241323648,0.4449712597018803
64,2,0.3,0.001,0.48849858152183734,0.5411560656162874,0.5506354896529249,0.4389634007729029
64,2,0.3,0.01,0.5510340444256123,0.5534429099397005,0.5530620256477362,0.5490208813691423
64,3,0.0,0.0001,0.6659025787965616,0.4991408934707904,0.4991408934707904,1.0
64,3,0.0,0.0005,0.483433075463436,0.5410750178305128,0.5516552154903186,0.43022764914103856
64,3,0.0,0.001,0.4851247775073559,0.5404914737729365,0.5503812075005151,0.4337024648459065
64,3,0.0,0.01,0.560651942986698,0.5508169616806069,0.5477385377942999,0.574188939044588
64,3,0.1,0.0001,0.0,0.5008591065292096,0.0,0.0
64,3,0.1,0.0005,0.0012973954785767572,0.5008915256435195,0.5263157894736842,0.0006494982625921476
64,3,0.1,0.001,0.5115782472476502,0.5476723075925566,0.554821564160972,0.4745883804760822
64,3,0.1,0.01,0.5884594929976954,0.5484341567788368,0.5397707254939158,0.6468028448023901
64,3,0.3,0.0001,0.6495902868591859,0.5265674641768787,0.5150880931542297,0.879160848244731
64,3,0.3,0.0005,0.483433075463436,0.5410750178305128,0.5516552154903186,0.43022764914103856
64,3,0.3,0.001,0.2900626243992427,0.5259028723335278,0.5742431523306103,0.19403760594940409
64,3,0.3,0.01,0.579152459814905,0.5518381637813655,0.5450534338022519,0.6178027473776507
128,1,0.0,0.0001,0.5423950548641886,0.5464079621344745,0.5462810461822254,0.5385639593414088
128,1,0.0,0.0005,0.5630409623628747,0.5654704013486351,0.5652245058253698,0.560874224661449
